ID	PRICE	ORDI	ORGANIC	SPEC	CHOICE	MODE	EIOS	EIC	EIS	EIO	SEG2	SEG3	SEG4	SEG5	SEG1
1001	400	0	1	0	0	1	0	0	0	1	0	1	0	0	0
1001	250	1	0	0	1	1	0	0	0	1	0	1	0	0	0
1001	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
1002	200	0	0	1	1	1	0	0	0	1	0	1	0	0	0
1002	350	0	0	1	0	1	0	0	0	1	0	1	0	0	0
1002	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
1003	250	0	1	0	0	1	0	0	0	1	0	1	0	0	0
1003	400	0	0	1	0	1	0	0	0	1	0	1	0	0	0
1003	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
1004	300	1	0	0	0	1	0	0	0	1	0	1	0	0	0
1004	300	0	0	1	0	1	0	0	0	1	0	1	0	0	0
1004	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
1005	400	0	0	1	0	1	0	0	0	1	0	1	0	0	0
1005	300	1	0	0	0	1	0	0	0	1	0	1	0	0	0
1005	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
1006	350	0	0	1	0	1	0	0	0	1	0	1	0	0	0
1006	400	0	1	0	0	1	0	0	0	1	0	1	0	0	0
1006	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
1007	250	1	0	0	0	1	0	0	0	1	0	1	0	0	0
1007	250	0	1	0	0	1	0	0	0	1	0	1	0	0	0
1007	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
1008	300	0	0	1	0	1	0	0	0	1	0	1	0	0	0
1008	200	0	0	1	0	1	0	0	0	1	0	1	0	0	0
1008	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
2001	400	0	1	0	0	1	0	0	0	1	1	0	0	0	0
2001	250	1	0	0	1	1	0	0	0	1	1	0	0	0	0
2001	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
2002	200	0	0	1	1	1	0	0	0	1	1	0	0	0	0
2002	350	0	0	1	0	1	0	0	0	1	1	0	0	0	0
2002	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
2003	250	0	1	0	0	1	0	0	0	1	1	0	0	0	0
2003	400	0	0	1	0	1	0	0	0	1	1	0	0	0	0
2003	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
2004	300	1	0	0	0	1	0	0	0	1	1	0	0	0	0
2004	300	0	0	1	0	1	0	0	0	1	1	0	0	0	0
2004	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
2005	400	0	0	1	0	1	0	0	0	1	1	0	0	0	0
2005	300	1	0	0	0	1	0	0	0	1	1	0	0	0	0
2005	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
2006	350	0	0	1	0	1	0	0	0	1	1	0	0	0	0
2006	400	0	1	0	0	1	0	0	0	1	1	0	0	0	0
2006	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
2007	250	1	0	0	0	1	0	0	0	1	1	0	0	0	0
2007	250	0	1	0	1	1	0	0	0	1	1	0	0	0	0
2007	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
2008	300	0	0	1	0	1	0	0	0	1	1	0	0	0	0
2008	200	0	0	1	1	1	0	0	0	1	1	0	0	0	0
2008	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
3001	400	0	1	0	0	1	0	0	0	1	0	0	0	0	1
3001	250	1	0	0	0	1	0	0	0	1	0	0	0	0	1
3001	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
3002	200	0	0	1	0	1	0	0	0	1	0	0	0	0	1
3002	350	0	0	1	0	1	0	0	0	1	0	0	0	0	1
3002	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
3003	250	0	1	0	1	1	0	0	0	1	0	0	0	0	1
3003	400	0	0	1	0	1	0	0	0	1	0	0	0	0	1
3003	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
3004	300	1	0	0	0	1	0	0	0	1	0	0	0	0	1
3004	300	0	0	1	0	1	0	0	0	1	0	0	0	0	1
3004	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
3005	400	0	0	1	0	1	0	0	0	1	0	0	0	0	1
3005	300	1	0	0	0	1	0	0	0	1	0	0	0	0	1
3005	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
3006	350	0	0	1	0	1	0	0	0	1	0	0	0	0	1
3006	400	0	1	0	0	1	0	0	0	1	0	0	0	0	1
3006	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
3007	250	1	0	0	0	1	0	0	0	1	0	0	0	0	1
3007	250	0	1	0	1	1	0	0	0	1	0	0	0	0	1
3007	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
3008	300	0	0	1	0	1	0	0	0	1	0	0	0	0	1
3008	200	0	0	1	1	1	0	0	0	1	0	0	0	0	1
3008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
4001	400	0	1	0	0	1	0	0	0	1	0	0	0	0	1
4001	250	1	0	0	1	1	0	0	0	1	0	0	0	0	1
4001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
4002	200	0	0	1	1	1	0	0	0	1	0	0	0	0	1
4002	350	0	0	1	0	1	0	0	0	1	0	0	0	0	1
4002	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
4003	250	0	1	0	1	1	0	0	0	1	0	0	0	0	1
4003	400	0	0	1	0	1	0	0	0	1	0	0	0	0	1
4003	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
4004	300	1	0	0	0	1	0	0	0	1	0	0	0	0	1
4004	300	0	0	1	1	1	0	0	0	1	0	0	0	0	1
4004	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
4005	400	0	0	1	0	1	0	0	0	1	0	0	0	0	1
4005	300	1	0	0	1	1	0	0	0	1	0	0	0	0	1
4005	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
4006	350	0	0	1	1	1	0	0	0	1	0	0	0	0	1
4006	400	0	1	0	0	1	0	0	0	1	0	0	0	0	1
4006	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
4007	250	1	0	0	0	1	0	0	0	1	0	0	0	0	1
4007	250	0	1	0	1	1	0	0	0	1	0	0	0	0	1
4007	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
4008	300	0	0	1	0	1	0	0	0	1	0	0	0	0	1
4008	200	0	0	1	1	1	0	0	0	1	0	0	0	0	1
4008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
5001	400	0	1	0	0	1	0	0	0	1	0	1	0	0	0
5001	250	1	0	0	1	1	0	0	0	1	0	1	0	0	0
5001	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
5002	200	0	0	1	1	1	0	0	0	1	0	1	0	0	0
5002	350	0	0	1	0	1	0	0	0	1	0	1	0	0	0
5002	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
5003	250	0	1	0	0	1	0	0	0	1	0	1	0	0	0
5003	400	0	0	1	1	1	0	0	0	1	0	1	0	0	0
5003	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
5004	300	1	0	0	0	1	0	0	0	1	0	1	0	0	0
5004	300	0	0	1	1	1	0	0	0	1	0	1	0	0	0
5004	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
