ID	PRICE	ORDI	ORGANIC	SPEC	CHOICE	MODE	EIOS	EIC	EIS	EIO	SEG2	SEG3	SEG4	SEG5	SEG1				
1001	210	0	0	1	0	1	0	0	0	1	0	1	0	0	0				
1001	170	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
1001	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
1002	250	0	1	0	0	1	0	0	0	1	0	1	0	0	0				
1002	210	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
1002	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
1003	330	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
1003	330	1	0	0	0	1	0	0	0	1	0	1	0	0	0				
1003	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
1004	170	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
1004	290	0	1	0	0	1	0	0	0	1	0	1	0	0	0				
1004	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
1005	170	1	0	0	1	1	0	0	0	1	0	1	0	0	0				
1005	250	0	0	1	0	1	0	0	0	1	0	1	0	0	0				
1005	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
1006	250	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
1006	330	0	1	0	0	1	0	0	0	1	0	1	0	0	0				
1006	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
1007	290	0	1	0	0	1	0	0	0	1	0	1	0	0	0				
1007	170	1	0	0	1	1	0	0	0	1	0	1	0	0	0				
1007	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
1008	330	1	0	0	0	1	0	0	0	1	0	1	0	0	0				
1008	250	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
1008	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
2001	210	0	0	1	0	1	0	0	0	1	1	0	0	0	0				
2001	170	0	0	1	1	1	0	0	0	1	1	0	0	0	0				
2001	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0				
2002	250	0	1	0	0	1	0	0	0	1	1	0	0	0	0				
2002	210	0	0	1	1	1	0	0	0	1	1	0	0	0	0				
2002	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0				
2003	330	0	1	0	0	1	0	0	0	1	1	0	0	0	0				
2003	330	1	0	0	0	1	0	0	0	1	1	0	0	0	0				
2003	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0				
2004	170	0	0	1	1	1	0	0	0	1	1	0	0	0	0				
2004	290	0	1	0	0	1	0	0	0	1	1	0	0	0	0				
2004	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0				
2005	170	1	0	0	1	1	0	0	0	1	1	0	0	0	0				
2005	250	0	0	1	0	1	0	0	0	1	1	0	0	0	0				
2005	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0				
2006	250	0	0	1	1	1	0	0	0	1	1	0	0	0	0				
2006	330	0	1	0	0	1	0	0	0	1	1	0	0	0	0				
2006	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0				
2007	290	0	1	0	0	1	0	0	0	1	1	0	0	0	0				
2007	170	1	0	0	1	1	0	0	0	1	1	0	0	0	0				
2007	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0				
2008	330	1	0	0	0	1	0	0	0	1	1	0	0	0	0				
2008	250	0	1	0	1	1	0	0	0	1	1	0	0	0	0				
2008	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0				
3001	210	0	0	1	0	1	0	0	0	1	0	0	0	0	1				
3001	170	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
3001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
3002	250	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
3002	210	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
3002	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
3003	330	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
3003	330	1	0	0	0	1	0	0	0	1	0	0	0	0	1				
3003	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1				
3004	170	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
3004	290	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
3004	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
3005	170	1	0	0	1	1	0	0	0	1	0	0	0	0	1				
3005	250	0	0	1	0	1	0	0	0	1	0	0	0	0	1				
3005	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
3006	250	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
3006	330	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
3006	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
3007	290	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
3007	170	1	0	0	1	1	0	0	0	1	0	0	0	0	1				
3007	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
3008	330	1	0	0	0	1	0	0	0	1	0	0	0	0	1				
3008	250	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
3008	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1				
4001	210	0	0	1	0	1	0	0	0	1	0	0	0	0	1				
4001	170	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
4001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
4002	250	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
4002	210	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
4002	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
4003	330	0	1	0	1	1	0	0	0	1	0	0	0	0	1				
4003	330	1	0	0	0	1	0	0	0	1	0	0	0	0	1				
4003	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
4004	170	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
4004	290	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
4004	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
4005	170	1	0	0	1	1	0	0	0	1	0	0	0	0	1				
4005	250	0	0	1	0	1	0	0	0	1	0	0	0	0	1				
4005	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
4006	250	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
4006	330	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
4006	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
4007	290	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
4007	170	1	0	0	1	1	0	0	0	1	0	0	0	0	1				
4007	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
4008	330	1	0	0	0	1	0	0	0	1	0	0	0	0	1				
4008	250	0	1	0	1	1	0	0	0	1	0	0	0	0	1				
4008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
5001	210	0	0	1	0	1	0	0	0	1	0	1	0	0	0				
5001	170	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
5001	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
5002	250	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
5002	210	0	0	1	0	1	0	0	0	1	0	1	0	0	0				
5002	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
5003	330	0	1	0	0	1	0	0	0	1	0	1	0	0	0				
5003	330	1	0	0	1	1	0	0	0	1	0	1	0	0	0				
5003	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
5004	170	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
5004	290	0	1	0	0	1	0	0	0	1	0	1	0	0	0				
5004	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
5005	170	1	0	0	0	1	0	0	0	1	0	1	0	0	0				
5005	250	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
5005	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
5006	250	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
5006	330	0	1	0	0	1	0	0	0	1	0	1	0	0	0				
5006	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
5007	290	0	1	0	0	1	0	0	0	1	0	1	0	0	0				
5007	170	1	0	0	1	1	0	0	0	1	0	1	0	0	0				
5007	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
5008	330	1	0	0	0	1	0	0	0	1	0	1	0	0	0				
5008	250	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
5008	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
6001	210	0	0	1	0	1	0	0	0	1	0	0	0	0	1				
6001	170	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
6001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
6002	250	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
6002	210	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
6002	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
6003	330	0	1	0	1	1	0	0	0	1	0	0	0	0	1				
6003	330	1	0	0	0	1	0	0	0	1	0	0	0	0	1				
6003	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
6004	170	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
6004	290	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
6004	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
6005	170	1	0	0	1	1	0	0	0	1	0	0	0	0	1				
6005	250	0	0	1	0	1	0	0	0	1	0	0	0	0	1				
6005	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
6006	250	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
6006	330	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
6006	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
6007	290	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
6007	170	1	0	0	1	1	0	0	0	1	0	0	0	0	1				
6007	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
6008	330	1	0	0	0	1	0	0	0	1	0	0	0	0	1				
6008	250	0	1	0	1	1	0	0	0	1	0	0	0	0	1				
6008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
7001	210	0	0	1	0	1	0	0	0	1	0	0	0	0	1				
7001	170	0	0	1	1	1	0	0	0	1	0	0	0	0	1				
7001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				
7002	250	0	1	0	0	1	0	0	0	1	0	0	0	0	1				
