"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_price_cn",-0.153594287002112,0.00651608136110699,-23.5715729270788,0.00869096855456924,-17.6728618953938
"b_price_jp",-0.0219013760911973,0.00075419218769081,-29.0395159863098,0.00099670429351269,-21.9737952708222
"b_organic_cn",1.28134065501534,0.0837218518018149,15.3047337993492,0.0864948228796216,14.8140734018109
"b_organic_jp",0.880163461656467,0.0808032366315512,10.8926758178,0.079053809517459,11.1337260914932
"b_spec_cn",0.999894275237443,0.0711700072647647,14.0493771697629,0.0719452847091617,13.8979820467666
"b_spec_jp",0.824419288927415,0.0889284071721193,9.27059547273535,0.096070623560498,8.58138792456424
"asc_nobuy_cn",-2.37560336359431,0.107112258663042,-22.178631962823,0.155114064595161,-15.3152028463344
"asc_nobuy_jp",-6.69074277553219,0.226235642309008,-29.5742205217758,0.34850776049702,-19.1982605092933
"gamma_seg1",0.233760493303837,0.155841518867559,1.49998854607222,0.28031882825226,0.833909355148544
"gamma_seg2",0.338842469692423,0.122772540525557,2.75992064872102,0.210736316437754,1.6078978479844
"gamma_seg3",0.205942192829597,0.143272488941078,1.43741617355647,0.258892119993004,0.795474936955059
"gamma_seg4",-0.471367414513894,0.163440422475883,-2.88403203671019,0.28267277670594,-1.66753735540742
