"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_price_cn_1",-0.121311692977642,0.00727278910663092,-16.6802159665316,0.0115225643274361,-10.5281853526988
"b_price_jp_1",-0.0258304782322764,0.000990777111037587,-26.0709275017724,0.00212758640465979,-12.1407422869892
"b_organic_1",1.3905217570072,0.0718619856817228,19.3498933242094,0.0855092373646159,16.2616554639347
"b_spec_1",1.21948327901902,0.0665799225643754,18.3160813658189,0.0746096680017529,16.3448425878315
"asc_nobuy_1",-9.53942747410531,0.366908120410215,-25.9994994480905,0.7310152878423,-13.0495594726375
"b_price_cn_2",-0.266050712519196,0.0147919757613069,-17.9861511952403,0.0317537757166278,-8.37855362125893
"b_price_jp_2",-0.0144712670441855,0.000747612143966315,-19.3566505854372,0.00106060753386264,-13.6443185458833
"b_organic_2",-0.235282150266656,0.142322997507398,-1.65315623186215,0.187053758404652,-1.25783171786194
"b_spec_2",0.119899170902622,0.120972753181439,0.991125420802762,0.142519771204551,0.841280966768727
"asc_nobuy_2",-2.8054568881356,0.158867895316644,-17.6590549182008,0.278780384147053,-10.0633224131571
"delta_class2",-1.53903655061431,0.245599404267649,-6.26645066670072,0.242723075062081,-6.34070967591636
"gamma_china_class2",0.675720485539068,0.20261904130504,3.334930819862,0.216853319058352,3.11602556268573
"gamma_seg1_class2",0.199555675717446,0.307176329157921,0.649645356022382,0.308077242982609,0.647745590636538
"gamma_seg2_class2",0.280742280345164,0.238816051976233,1.17555866962035,0.235881292797705,1.19018459249302
"gamma_seg3_class2",0.181903374229175,0.280252283203935,0.649070088384639,0.280836015108325,0.647720963278199
"gamma_seg4_class2",-0.404713889006477,0.299677390074377,-1.35049857750707,0.302312474407873,-1.33872705649733
